name,MRP,Discounted Price
Rajma and Chawal Lunchbox,199,N/A
Aloo Paratha and Double Omelette Combo,229,N/A
Rajma & Rumali Roti Lunchbox,259,179
Chicken Kheema & Rumali Roti Lunchbox,299,N/A
Dal Makhani & Rumali Roti Lunchbox,249,N/A
Smoked Butter Chicken & Rumali Roti Lunchbox,359,N/A
Chicken Mughlai Gravy with Rumali Roti,309,N/A
Palak Paneer & Rumali Roti Lunchbox,319,N/A
Pindi Chole with Rumali Roti Lunchbox,249,N/A
Paneer Lababdar Rumali Roti Lunchbox,339,N/A
Paneer Tikka Masala Rumali Roti Lunchbox,339,N/A
Chicken Lababdar Rumali Roti Lunchbox,339,N/A
Chicken Tikka Masala Rumali Roti Lunchbox,329,N/A
Mushroom Masala with Rumali Roti Lunchbox,339,N/A
Mughlai Egg Curry with Rumali Roti Lunchbox,289,N/A
Chicken Haleem & Rumali Roti Lunchbox,309,N/A
Rajma Chawal LunchBox,209,N/A
"Punjabi Thali - Chole, Dal Makhani and Chawal",229,179
Dal Makhani & Rice Lunchbox,209,179
"Dal Makhani, Rice Lunchbox with Gulab Jamun (2 pcs)",299,N/A
Rajma and Chawal Lunchbox,199,N/A
Aloo Paratha and Double Omelette Combo,229,N/A
Rajma & Rumali Roti Lunchbox,259,179
Chicken Kheema & Rumali Roti Lunchbox,299,N/A
Dal Makhani & Rumali Roti Lunchbox,249,N/A
Smoked Butter Chicken & Rumali Roti Lunchbox,359,N/A
Chicken Mughlai Gravy with Rumali Roti,309,N/A
Palak Paneer & Rumali Roti Lunchbox,319,N/A
Pindi Chole with Rumali Roti Lunchbox,249,N/A
Paneer Lababdar Rumali Roti Lunchbox,339,N/A
Paneer Tikka Masala Rumali Roti Lunchbox,339,N/A
Chicken Lababdar Rumali Roti Lunchbox,339,N/A
Chicken Tikka Masala Rumali Roti Lunchbox,329,N/A
Mushroom Masala with Rumali Roti Lunchbox,339,N/A
Mughlai Egg Curry with Rumali Roti Lunchbox,289,N/A
Chicken Haleem & Rumali Roti Lunchbox,309,N/A
Rajma Chawal LunchBox,209,N/A
"Punjabi Thali - Chole, Dal Makhani and Chawal",229,179
Dal Makhani & Rice Lunchbox,209,179
"Dal Makhani, Rice Lunchbox with Gulab Jamun (2 pcs)",299,N/A
Chicken Kheema & Rice LunchBox,259,199
Smoked Butter Chicken & Rice LunchBox,309,N/A
"Smoked Butter Chicken, Rice Lunchbox with Gulab Jamun (2 pcs)",329,N/A
Chicken Mughlai Gravy with Rice,269,N/A
Mughlai Egg Curry & Rice Lunchbox,229,N/A
Gobi Paratha With Curd and Green Chutney,239,179
Gobi Paratha With Dal Makhani,259,199
Gobi Paratha With Pindi Chole,269,199
Gobi Paratha With Curd & Butter,229,N/A
Gobi Paratha with Double Omelette Combo,259,N/A
Aloo Paratha With Dal Makhani,239,179
Aloo Paratha with Pindi Chole Lunchbox,269,199
Aloo Paratha Curd Meal (2 pcs),199,N/A
Double Omelette & Sausages with Masala Bread,169,149
Double Omelette & Meatballs with Masala Bread,169,149
Double Omelette with Masala Bread,179,149
Double Omelette & Wedges with Masala Bread,199,179
Aloo Paratha with Double Omelette Combo,249,179
Masala Cheesy Omelette with Kulcha Bread,179,149
Sabudana Vada and Imli Chutney,129,N/A
Aloo Pattice and Imli Chutney,149,N/A
Rajma Masala Jumbo Lunchbox,299,N/A
Pindi Chole Jumbo Lunchbox,299,N/A
Mushroom Masala Jumbo Lunchbox,385,N/A
Chicken Kheema Jumbo Lunchbox,335,N/A
Smoked Butter Chicken Jumbo Lunchbox,449,N/A
Chicken Mughlai Gravy Jumbo Lunchbox,349,N/A
Mughlai Egg Curry Jumbo Lunchbox,339,N/A
Rajma & Bread Kulcha Lunchbox,209,179
Pindi Chole with Kulcha Lunchbox,219,179
Pindi Chole Kulcha Lunchbox with Gulab Jamun (2 pcs) Combo,299,N/A
Dal Makhani & Bread Kulcha Lunchbox,209,179
Palak Paneer Bread Kulcha Lunchbox,259,N/A
Mushroom Masala with Kulcha Lunchbox,289,N/A
Chicken Kheema & Bread Kulcha Lunchbox,269,179
Smoked Butter Chicken & Bread Kulcha Lunchbox,319,N/A
Chicken Mughlai Gravy with Kulcha,269,N/A
Chicken Haleem with Kulcha Lunchbox,269,N/A
Mughlai Egg Curry & Bread Kulcha Lunchbox,235,N/A
Rajma and Paratha Lunchbox,199,N/A
Pindi Chole & Paratha Lunchbox,199,179
Dal Makhani & Paratha Lunchbox,229,N/A
Palak Paneer & Paratha Lunchbox,259,N/A
Mushroom Masala with Mini Triangle Paratha Lunchbox,299,N/A
Chicken Kheema and Paratha Lunchbox,279,N/A
Smoked Butter Chicken and Paratha Lunchbox,329,N/A
Chicken Mughlai Gravy & Paratha Lunchbox,259,N/A
Chicken Haleem with Paratha Lunchbox,279,N/A
Mughlai Egg Curry with Paratha Lunchbox,269,N/A
Mushroom Masala with Lacha Paratha Lunchbox,325,N/A
Mutton Bhuna with Laccha Paratha,449,N/A
Mutton Bhuna with Paratha,429,N/A
Sabudana Khichdi Curd Meal with Aloo Pattice,269,199
Sabudana Khichdi & Curd Meal,249,179
Rajgira Halwa (300 gm),199,N/A
Kuttu Paneer Pakoda (4 Pcs),209,N/A
Aloo Pattice (2 pcs) & Sabudana Wada (2 pcs),125,N/A
Sabudana Paratha (2 pcs) Curd Meal,249,N/A
Sabudana Vada & Imli Chutney,129,99
