Platform,Discounts,Coupons
swiggy,"60% Off Upto ₹110, 10% Off Upto ₹100, Flat ₹25 Off, Flat ₹75 Off, Swiggy Sixes ₹165 Off","USE TRYNEW, USE RBLCC100, NO CODE REQUIRED, NO CODE REQUIRED, USE XTRAMOMENT"
Item Name,MRP,Discounted Price
Corn & Capsicum Pizza Meal,299,N/A
Onion Pizza Meal,299,N/A
Paneer & onion Pizza Meal,349,N/A
Chicken Sausage Pizza Meal,349,N/A
Chicken Tikka Pizza Meal,349,N/A
Chicken Kheema & Onion Pizza,169,N/A
Corn Pizza,99,N/A
Paneer Tikka & Onion Pizza,169,N/A
Capsicum Pizza,99,N/A
Chicken Sausage & Capsicum Pizza,159,N/A
Onion Pizza,99,N/A
Chicken Tikka & Onion Pizza,189,N/A
Corn & Capsicum Pizza,159,N/A
Pack of 4 Veg Cheesy Pizza Mania,399,N/A
Pack of 4 Non Veg Cheesy Pizza Mania,499,N/A
1+1 Veg Cheesy Pizza Mania,249,N/A
1+1 Non-Veg Cheesy Pizza Mania,259,N/A
1 Veg & 1 Non-Veg Cheesy Pizza Mania at 129 each,259,N/A
Personal Veg Paradise Combo,399,N/A
Personal Non-Veg Paradise Combo,469,N/A
Corn & Capsicum Pizza Meal,299,N/A
Onion Pizza Meal,299,N/A
Paneer & onion Pizza Meal,349,N/A
Chicken Sausage Pizza Meal,349,N/A
Chicken Tikka Pizza Meal,349,N/A
Chicken Kheema & Onion Pizza,169,N/A
Corn Pizza,99,N/A
Paneer Tikka & Onion Pizza,169,N/A
Capsicum Pizza,99,N/A
Chicken Sausage & Capsicum Pizza,159,N/A
Onion Pizza,99,N/A
Chicken Tikka & Onion Pizza,189,N/A
Corn & Capsicum Pizza,159,N/A
Pack of 4 Veg Cheesy Pizza Mania,399,N/A
Pack of 4 Non Veg Cheesy Pizza Mania,499,N/A
1+1 Veg Cheesy Pizza Mania,249,N/A
1+1 Non-Veg Cheesy Pizza Mania,259,N/A
1 Veg & 1 Non-Veg Cheesy Pizza Mania at 129 each,259,N/A
Personal Veg Paradise Combo,399,N/A
Personal Non-Veg Paradise Combo,469,N/A
Veggie Delight Combo,349,N/A
Non-Veggie Delight Combo,399,N/A
Double Cheese Tandoori Paneer Tikka Medium Pizza,539,N/A
Double Cheese Dragonfire Margherita Medium Pizza,439,N/A
Double Cheese Garden Fresh Veggie Medium Pizza,525,N/A
Double Cheese Chicken Tikka Medium Pizza,539,N/A
Double Cheese Corn Veggie Delight Medium Pizza,439,N/A
Double Cheese Dragonfire Paneer Medium Pizza,609,N/A
Double Cheese Smoked Chicken Sausage Medium Pizza,439,N/A
Double Cheese Pesto Margherita Medium Pizza,459,N/A
Double Cheese Chicken Maximus Medium Pizza,639,N/A
Double Cheese BBQ Chicken Medium Pizza,560,N/A
Double Cheese Clucker Pepperoni Medium Pizza,539,N/A
Double Cheese Dragonfire Chicken Medium Pizza,639,N/A
Double Cheese Double Chicken feast Medium Pizza,590,N/A
Double Cheese Butter Chicken Medium Pizza,669,N/A
Double Cheese Pesto Paneer Medium Pizza,609,N/A
Margherita Pizza (Serves 1),129,N/A
Double Cheese Margherita Pizza (Serves 1),229,N/A
