name,MRP
Cheesy Baked Veggie Pizza Wrap,₹219
2 Chipotle Aloo Patty Burger Wrap + Large Wedges,₹429
2 Chipotle Chicken Burger Wrap + Large Wedges,₹539
2 Masala Paneer Tikka Wrap + Large Wedges,₹489
2 Masala Chicken Tikka Wrap + Large Wedges,₹499
2 Chipotle Aloo Patty Burger Wrap + Large Fries + Coke,₹499
2 Chipotle Chicken Burger Wrap with Large Fries + Coke,₹639
4 Chipotle Aloo Patty Burger Wrap + 2 Large Wedges,₹569
4 Chipotle Chicken Burger Wrap + 2 Large Wedges,₹669
4 Masala Paneer Tikka Wrap + 2 Large Wedges,₹629
4 Masala Chicken Tikka Wrap + 2 Large Wedges,₹649
4 Chipotle Aloo Patty Burger Wrap + 2 Large Fries + 2 coke,₹749
4 Chipotle Chicken Burger Wrap + 2 Large Fries + 2 coke,₹849
2 Classic Veg Rolls at 160 each,₹319
1 Cheesy Paneer Wrap + 1 Masala Paneer Tikka Wrap,₹319
2 Classic Non-Veg Rolls at 165 each,₹329
2 Veg Shawarmas at 185 each,₹369
2 Non-Veg Shawarmas at 195 each .,₹389
1 Non-Veg Classic Wrap + 1 Non-Veg Rice Bowl,₹299
1 Chicken Bhuna Wrap + 1 Masala Chicken Tikka Wrap,₹359
1 Veg Classic Wrap + 1 Veg Rice Bowl,₹309
2 Signature Veg Wraps at 195 each,₹389
2 Signature Non-Veg Wraps at 220 each,₹439
2 Burger Wrap at 105 each,₹239
3 Veg Classic Wraps at 106 each,₹319
4 Classic Veg Wraps at 409,₹409
2 Classic Rolls (1 Veg + 1 Non-Veg) starting at 115 each,₹229
3 Non-Veg Classic Wraps at 103 each,₹309
4 Classic Non-Veg Wraps at 429,₹429
2 Classic Veg Rolls at 160 each.,₹319
Aloo Patty Chipotle Burger Wrap,₹139
Pindi Chole Roll,₹125
Spicy Indie Chatpata Aloo Wrap,₹99
Veg Fingers Chipotle Burger Wrap,₹129
Chipotle Potato Shots Wrap,₹169
2 Classic Non-Veg Rolls at 165 each .,₹329
Chatpata Double Egg Roll,₹109
Cheese Melt Double Egg Roll,₹155
2 Burger Wraps at 105 each.,₹239
Cheesy Egg Chicken Sausage Wrap,₹165
Chipotle Aloo Patty Burger Wrap.,₹139
Masala Paneer Tikka Wrap,₹189
Chipotle Veg Fingers Burger Wrap.,₹129
Cheese Melt Paneer Wrap,₹199
Cheesy Corn Salsa Wrap,₹169
Masala Mushroom Wrap,₹179
Chipotle Potato Shots Wrap.,₹169
Veg Falafel Wrap,₹169
Indie Chatpate Aloo Wrap,₹99
Pindi Chole Wrap,₹125
Cheesynator Melt Paneer Wrap,₹249
Chipotle Crispy Chicken Wrap,₹198
Masala Chicken Tikka Wrap,₹198
Chilli Crispy Chicken Wrap,₹209
Chipotle Chicken Strips Wrap,₹198
Chicken Bhuna Wrap,₹198
Malai Chicken Kebab Wrap,₹219
Egg Cheese Chicken Sausage Wrap,₹165
Malai Chicken Cheese Melt Wrap,₹215
Cheese Melt Chicken Bhuna Wrap,₹219
Cheese Melt Chicken Tikka Wrap,₹219
Chatpata Roll With Double Egg,₹109
